TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,BonusPoints,PaymentType
550,1/6/2024,1008,102,404,0,39.1,5,Cash
551,1/6/2024,1009,105,403,0,19.78,2,Credit
552,1/16/2024,1004,107,404,0,335.1,24,Check
553,1/16/2024,1006,102,406,0,195.5,15,Debit
554,1/25/2024,1005,102,405,0,117.3,8,Cash
555,1/25/2024,1001,101,401,0,2379.36,189,Credit
556,1/29/2024,1009,104,403,0,172.4,12,Check
557,1/29/2024,1010,101,402,0,3172.48,251,Debit
558,2/6/2024,1002,102,402,0,312.8,25,Cash
559,2/6/2024,1001,106,401,0,622.86,47,Credit
560,2/6/2024,1010,101,402,0,6344.96,503,Check
561,2/6/2024,1005,107,405,0,469.14,36,Debit
562,2/8/2024,1003,108,403,0,12.56,1,Cash
563,2/8/2024,1006,107,406,0,67.02,6,Credit
564,2/9/2024,1009,107,403,0,469.14,40,Check
565,2/9/2024,1002,105,402,0,138.46,10,Debit
566,2/24/2024,1007,103,405,0,204.84,16,Cash
567,2/24/2024,1007,106,405,0,444.9,36,Credit
568,2/24/2024,1011,107,401,0,603.18,45,Check
569,2/24/2024,1010,101,402,0,3965.6,312,Debit
570,2/27/2024,1010,107,402,0,402.12,29,Cash
571,2/27/2024,1011,106,401,0,533.88,41,Credit
572,3/20/2024,1005,105,405,0,178.02,14,Check
573,3/20/2024,1001,101,401,0,7138.08,568,Debit
574,3/25/2024,1006,101,406,0,4758.72,379,Cash
575,3/25/2024,1001,108,401,0,75.36,6,Credit
576,4/7/2024,1001,108,401,0,113.04,9,Check
577,4/7/2024,1005,104,405,0,387.9,31,Debit
578,4/10/2024,1006,106,406,0,800.82,63,Cash
579,4/10/2024,1008,106,404,0,800.82,63,Credit
580,4/11/2024,1004,103,404,0,22.76,2,Check
581,4/11/2024,1009,101,403,0,793.12,63,Debit
582,4/19/2024,1001,101,401,0,6344.96,503,Cash
583,4/19/2024,1009,102,403,0,312.8,25,Credit
584,4/27/2024,1007,101,405,0,7138.08,568,Check
585,4/27/2024,1002,108,402,0,113.04,9,Debit
586,4/30/2024,1001,105,401,0,39.56,3,Cash
587,4/30/2024,1007,102,405,0,78.2,7,Credit
588,5/2/2024,1002,102,402,0,117.3,10,Check
589,5/2/2024,1007,102,405,0,117.3,10,Debit
590,5/8/2024,1005,107,405,1,603.18,45,Cash
591,5/8/2024,1004,101,404,1,7138.08,568,Credit
592,5/17/2024,1006,107,406,1,670.2,53,Check
593,5/17/2024,1008,104,404,1,431,34,Debit
594,5/19/2024,1003,101,403,1,1586.24,127,Cash
595,5/19/2024,1006,108,406,1,25.12,2,Credit
596,5/29/2024,1011,105,401,0,98.9,8,Check
597,5/29/2024,1008,102,404,0,195.5,15,Debit
598,6/6/2024,1001,104,401,0,387.9,31,Cash
599,6/6/2024,1004,102,404,0,351.9,28,Credit
600,6/12/2024,1010,103,402,0,182.08,15,Check
601,6/12/2024,1005,106,405,0,711.84,56,Debit
602,6/17/2024,1007,101,405,0,2379.36,189,Cash
603,6/17/2024,1006,101,406,0,2379.36,189,Credit
604,6/20/2024,1009,102,403,0,39.1,5,Check
605,6/20/2024,1002,108,402,0,12.56,1,Debit
606,7/2/2024,1005,105,405,0,79.12,7,Cash
607,7/2/2024,1011,108,401,0,50.24,4,Credit
608,7/4/2024,1003,102,403,0,39.1,9999,Check
609,7/4/2024,1004,101,404,0,3965.6,312,Debit
610,7/4/2024,1010,106,402,0,88.98,7,Cash
611,7/4/2024,1006,102,406,0,195.5,1,Credit
612,7/7/2024,1003,104,403,2,258.6,20,Check
613,7/7/2024,1003,104,403,2,258.6,20,Debit
614,7/15/2024,1011,101,401,2,7138.08,568,Cash
615,7/15/2024,1010,104,402,2,387.9,31,Credit
616,7/17/2024,1001,107,401,2,134.04,11,Check
617,7/17/2024,1003,107,403,2,134.04,11,Debit
618,7/21/2024,1001,104,401,2,172.4,15,Cash
619,7/21/2024,1008,105,404,2,79.12,7,Credit
620,7/25/2024,1007,108,405,0,125.6,10,Check
621,7/25/2024,1010,101,402,0,7931.2,999,Debit
622,8/1/2024,1003,108,403,0,100.48,9,Cash
623,8/1/2024,1002,107,402,0,536.16,42,Credit
624,8/2/2024,1011,108,401,0,125.6,10,Check
625,8/2/2024,1002,108,402,0,125.6,10,Debit
626,8/5/2024,1003,108,403,0,37.68,3,Cash
627,8/5/2024,1006,104,406,0,129.3,11,Credit
628,8/14/2024,1011,107,401,0,201.06,16,Check
629,8/14/2024,1006,101,406,0,2379.36,189,Debit
630,8/21/2024,1007,104,405,0,172.4,15,Cash
631,8/21/2024,1002,107,402,0,268.08,22,Credit
632,8/25/2024,1006,108,406,0,75.36,6,Check
633,8/25/2024,1002,104,402,0,258.6,20,Debit
634,8/28/2024,1006,105,406,0,39.56,3,Cash
635,8/28/2024,1005,106,405,0,177.96,15,Credit
636,9/5/2024,1005,107,405,3,1072.32,85,Check
637,9/5/2024,1007,107,405,3,1072.32,85,Debit
638,9/22/2024,1001,101,401,3,6344.96,503,Cash
639,9/22/2024,1007,104,405,3,689.6,55,Credit
640,9/30/2024,1005,107,405,3,268.08,22,Check
641,9/30/2024,1010,103,402,3,45.52,56,Debit
642,10/10/2024,1002,101,402,0,5551.84,221,Cash
643,10/10/2024,1010,104,402,0,301.7,78,Credit
